title,url,date,venue,description,scraped_at,extraction_method
Ibiza Spotlight Party Calendar 2 June 2025,https://www.ibiza-spotlight.com/night/events/2025/06/02,,,,2025-06-01T08:30:15.714235Z,html-dynamic
Ibiza Spotlight Party Calendar 26 May 2025,https://www.ibiza-spotlight.com/night/events/2025/05/26,,,,2025-06-01T08:30:17.762895Z,html-dynamic
Ibiza Spotlight Party Calendar 31 May 2025,https://www.ibiza-spotlight.com/night/events/2025/05/31,,,,2025-06-01T08:30:19.578541Z,html-dynamic
Ibiza Spotlight Party Calendar 27 May 2025,https://www.ibiza-spotlight.com/night/events/2025/05/27,,,,2025-06-01T08:30:22.175642Z,html-dynamic
Ibiza Spotlight Party Calendar 1 June 2025,https://www.ibiza-spotlight.com/night/events/2025/06/01,,,,2025-06-01T08:30:24.952601Z,html-dynamic
Ibiza Spotlight Party Calendar 28 May 2025,https://www.ibiza-spotlight.com/night/events/2025/05/28,,,,2025-06-01T08:30:27.485834Z,html-dynamic
Ibiza Spotlight Party Calendar 29 May 2025,https://www.ibiza-spotlight.com/night/events/2025/05/29,,,,2025-06-01T08:30:29.554864Z,html-dynamic
Ibiza Spotlight Party Calendar 30 May 2025,https://www.ibiza-spotlight.com/night/events/2025/05/30,,,,2025-06-01T08:30:31.995774Z,html-dynamic
Ibiza Spotlight Party Calendar 5 July 2025,https://www.ibiza-spotlight.com/night/events/2025/07/05,,,,2025-06-01T08:30:35.811901Z,html-dynamic
Ibiza Spotlight Party Calendar 2 June 2025,https://www.ibiza-spotlight.com/night/events/2025/06/02,,,,2025-06-01T08:30:37.728708Z,html-dynamic
Ibiza Spotlight Party Calendar 2 July 2025,https://www.ibiza-spotlight.com/night/events/2025/07/02,,,,2025-06-01T08:30:39.795986Z,html-dynamic
Ibiza Spotlight Party Calendar 3 July 2025,https://www.ibiza-spotlight.com/night/events/2025/07/03,,,,2025-06-01T08:30:42.107896Z,html-dynamic
Ibiza Spotlight Party Calendar 1 July 2025,https://www.ibiza-spotlight.com/night/events/2025/07/01,,,,2025-06-01T08:30:44.248753Z,html-dynamic
Ibiza Spotlight Party Calendar 6 July 2025,https://www.ibiza-spotlight.com/night/events/2025/07/06,,,,2025-06-01T08:30:46.516990Z,html-dynamic
Ibiza Spotlight Party Calendar 30 June 2025,https://www.ibiza-spotlight.com/night/events/2025/06/30,,,,2025-06-01T08:30:48.842541Z,html-dynamic
Ibiza Spotlight Party Calendar 1 June 2025,https://www.ibiza-spotlight.com/night/events/2025/06/01,,,,2025-06-01T08:30:51.587821Z,html-dynamic
Ibiza Spotlight Party Calendar 4 July 2025,https://www.ibiza-spotlight.com/night/events/2025/07/04,,,,2025-06-01T08:30:54.315738Z,html-dynamic
Ibiza Spotlight Party Calendar 3 August 2025,https://www.ibiza-spotlight.com/night/events/2025/08/03,,,,2025-06-01T08:30:57.874559Z,html-dynamic
Ibiza Spotlight Party Calendar 2 June 2025,https://www.ibiza-spotlight.com/night/events/2025/06/02,,,,2025-06-01T08:31:00.439791Z,html-dynamic
Ibiza Spotlight Party Calendar 28 July 2025,https://www.ibiza-spotlight.com/night/events/2025/07/28,,,,2025-06-01T08:31:02.993333Z,html-dynamic
Ibiza Spotlight Party Calendar 31 July 2025,https://www.ibiza-spotlight.com/night/events/2025/07/31,,,,2025-06-01T08:31:04.852894Z,html-dynamic
Ibiza Spotlight Party Calendar 2 August 2025,https://www.ibiza-spotlight.com/night/events/2025/08/02,,,,2025-06-01T08:31:07.456098Z,html-dynamic
Ibiza Spotlight Party Calendar 1 June 2025,https://www.ibiza-spotlight.com/night/events/2025/06/01,,,,2025-06-01T08:31:10.165611Z,html-dynamic
Ibiza Spotlight Party Calendar 1 August 2025,https://www.ibiza-spotlight.com/night/events/2025/08/01,,,,2025-06-01T08:31:12.618186Z,html-dynamic
Ibiza Spotlight Party Calendar 29 July 2025,https://www.ibiza-spotlight.com/night/events/2025/07/29,,,,2025-06-01T08:31:15.078493Z,html-dynamic
Ibiza Spotlight Party Calendar 30 July 2025,https://www.ibiza-spotlight.com/night/events/2025/07/30,,,,2025-06-01T08:31:16.988747Z,html-dynamic
Ibiza Spotlight Party Calendar 2 June 2025,https://www.ibiza-spotlight.com/night/events/2025/06/02,,,,2025-06-01T08:31:20.424825Z,html-dynamic
Ibiza Spotlight Party Calendar 7 September 2025,https://www.ibiza-spotlight.com/night/events/2025/09/07,,,,2025-06-01T08:31:22.640597Z,html-dynamic
Ibiza Spotlight Party Calendar 5 September 2025,https://www.ibiza-spotlight.com/night/events/2025/09/05,,,,2025-06-01T08:31:25.291226Z,html-dynamic
Ibiza Spotlight Party Calendar 6 September 2025,https://www.ibiza-spotlight.com/night/events/2025/09/06,,,,2025-06-01T08:31:27.060061Z,html-dynamic
Ibiza Spotlight Party Calendar 3 September 2025,https://www.ibiza-spotlight.com/night/events/2025/09/03,,,,2025-06-01T08:31:29.134558Z,html-dynamic
Ibiza Spotlight Party Calendar 2 September 2025,https://www.ibiza-spotlight.com/night/events/2025/09/02,,,,2025-06-01T08:31:31.250247Z,html-dynamic
Ibiza Spotlight Party Calendar 1 June 2025,https://www.ibiza-spotlight.com/night/events/2025/06/01,,,,2025-06-01T08:31:33.521640Z,html-dynamic
Ibiza Spotlight Party Calendar 1 September 2025,https://www.ibiza-spotlight.com/night/events/2025/09/01,,,,2025-06-01T08:31:35.699828Z,html-dynamic
Ibiza Spotlight Party Calendar 4 September 2025,https://www.ibiza-spotlight.com/night/events/2025/09/04,,,,2025-06-01T08:31:37.479262Z,html-dynamic
Ibiza Spotlight Party Calendar 2 June 2025,https://www.ibiza-spotlight.com/night/events/2025/06/02,,,,2025-06-01T08:31:41.415807Z,html-dynamic
Ibiza Spotlight Party Calendar 3 October 2025,https://www.ibiza-spotlight.com/night/events/2025/10/03,,,,2025-06-01T08:31:44.079143Z,html-dynamic
Ibiza Spotlight Party Calendar 4 October 2025,https://www.ibiza-spotlight.com/night/events/2025/10/04,,,,2025-06-01T08:31:46.622188Z,html-dynamic
Ibiza Spotlight Party Calendar 30 September 2025,https://www.ibiza-spotlight.com/night/events/2025/09/30,,,,2025-06-01T08:31:48.751775Z,html-dynamic
Ibiza Spotlight Party Calendar 1 June 2025,https://www.ibiza-spotlight.com/night/events/2025/06/01,,,,2025-06-01T08:31:51.217531Z,html-dynamic
Ibiza Spotlight Party Calendar 1 October 2025,https://www.ibiza-spotlight.com/night/events/2025/10/01,,,,2025-06-01T08:31:53.258059Z,html-dynamic
Ibiza Spotlight Party Calendar 29 September 2025,https://www.ibiza-spotlight.com/night/events/2025/09/29,,,,2025-06-01T08:31:55.162982Z,html-dynamic
Ibiza Spotlight Party Calendar 5 October 2025,https://www.ibiza-spotlight.com/night/events/2025/10/05,,,,2025-06-01T08:31:57.210010Z,html-dynamic
Ibiza Spotlight Party Calendar 2 October 2025,https://www.ibiza-spotlight.com/night/events/2025/10/02,,,,2025-06-01T08:31:59.881727Z,html-dynamic
Ibiza Spotlight Party Calendar 2 June 2025,https://www.ibiza-spotlight.com/night/events/2025/06/02,,,,2025-06-01T08:32:03.586370Z,html-dynamic
Ibiza Spotlight Party Calendar 30 October 2025,https://www.ibiza-spotlight.com/night/events/2025/10/30,,,,2025-06-01T08:32:05.764888Z,html-dynamic
Ibiza Spotlight Party Calendar 28 October 2025,https://www.ibiza-spotlight.com/night/events/2025/10/28,,,,2025-06-01T08:32:07.848293Z,html-dynamic
Ibiza Spotlight Party Calendar 27 October 2025,https://www.ibiza-spotlight.com/night/events/2025/10/27,,,,2025-06-01T08:32:09.697330Z,html-dynamic
Ibiza Spotlight Party Calendar 2 November 2025,https://www.ibiza-spotlight.com/night/events/2025/11/02,,,,2025-06-01T08:32:11.664022Z,html-dynamic
Ibiza Spotlight Party Calendar 31 October 2025,https://www.ibiza-spotlight.com/night/events/2025/10/31,,,,2025-06-01T08:32:13.835532Z,html-dynamic
Ibiza Spotlight Party Calendar 1 June 2025,https://www.ibiza-spotlight.com/night/events/2025/06/01,,,,2025-06-01T08:32:16.347932Z,html-dynamic
Ibiza Spotlight Party Calendar 29 October 2025,https://www.ibiza-spotlight.com/night/events/2025/10/29,,,,2025-06-01T08:32:18.066132Z,html-dynamic
Ibiza Spotlight Party Calendar 1 November 2025,https://www.ibiza-spotlight.com/night/events/2025/11/01,,,,2025-06-01T08:32:19.885792Z,html-dynamic
