title,datetime_obj,raw_date_string,tickets_url,promoter,venue,genres,tier_1,tier_2,tier_3,full_description,event_card_all_text,_quality,extractionMethod,page_year_context,scrapedAt,artists,json_ld_description,json_ld_url,location
Ibiza Records Opening Party,2025-05-20T23:30:00,2025-05-20T23:30,https://www.ibiza-spotlight.com/night/promoters/tuesdays-es-paradis,tuesdays-es-paradis,,[],,,,,,"{""score"": 3.5, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-05T10:36:22.566620Z,[],"Ibiza Records Opening Party on 20 May 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/tuesdays-es-paradis,Es Paradis
Ibiza Records,2025-05-27T23:30:00,2025-05-27T23:30,https://www.ibiza-spotlight.com/night/promoters/tuesdays-es-paradis,tuesdays-es-paradis,,[],,,,,,"{""score"": 3.5, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-05T10:36:22.566697Z,[],"Ibiza Records on 27 May 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/tuesdays-es-paradis,Es Paradis
Ibiza Records,2025-06-03T23:30:00,2025-06-03T23:30,https://www.ibiza-spotlight.com/night/promoters/tuesdays-es-paradis,tuesdays-es-paradis,,[],,,,,,"{""score"": 3.5, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-05T10:36:22.566748Z,[],"Ibiza Records on 3 Jun 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/tuesdays-es-paradis,Es Paradis
Ibiza Records,2025-06-10T23:30:00,2025-06-10T23:30,https://www.ibiza-spotlight.com/night/promoters/tuesdays-es-paradis,tuesdays-es-paradis,,[],,,,,,"{""score"": 3.5, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-05T10:36:22.566793Z,[],"Ibiza Records on 10 Jun 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/tuesdays-es-paradis,Es Paradis
Ibiza Records,2025-06-17T23:30:00,2025-06-17T23:30,https://www.ibiza-spotlight.com/night/promoters/tuesdays-es-paradis,tuesdays-es-paradis,,[],,,,,,"{""score"": 3.5, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-05T10:36:22.566837Z,[],"Ibiza Records on 17 Jun 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/tuesdays-es-paradis,Es Paradis
Ibiza Records,2025-06-24T23:30:00,2025-06-24T23:30,https://www.ibiza-spotlight.com/night/promoters/tuesdays-es-paradis,tuesdays-es-paradis,,[],,,,,,"{""score"": 3.5, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-05T10:36:22.566878Z,[],"Ibiza Records on 24 Jun 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/tuesdays-es-paradis,Es Paradis
Ibiza Records,2025-07-01T23:30:00,2025-07-01T23:30,https://www.ibiza-spotlight.com/night/promoters/tuesdays-es-paradis,tuesdays-es-paradis,,[],,,,,,"{""score"": 3.5, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-05T10:36:22.566918Z,[],"Ibiza Records on 1 Jul 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/tuesdays-es-paradis,Es Paradis
Ibiza Records,2025-07-08T23:30:00,2025-07-08T23:30,https://www.ibiza-spotlight.com/night/promoters/tuesdays-es-paradis,tuesdays-es-paradis,,[],,,,,,"{""score"": 3.5, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-05T10:36:22.566957Z,[],"Ibiza Records on 8 Jul 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/tuesdays-es-paradis,Es Paradis
Ibiza Records,2025-07-22T23:30:00,2025-07-22T23:30,https://www.ibiza-spotlight.com/night/promoters/tuesdays-es-paradis,tuesdays-es-paradis,,[],,,,,,"{""score"": 3.5, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-05T10:36:22.566996Z,[],"Ibiza Records on 22 Jul 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/tuesdays-es-paradis,Es Paradis
Ibiza Records,2025-07-29T23:30:00,2025-07-29T23:30,https://www.ibiza-spotlight.com/night/promoters/tuesdays-es-paradis,tuesdays-es-paradis,,[],,,,,,"{""score"": 3.5, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-05T10:36:22.567035Z,[],"Ibiza Records on 29 Jul 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/tuesdays-es-paradis,Es Paradis
